mt_main_poi_id	mt_poi_cate3_name	poi_name	brand_name
440799	其他火锅	道客吧火锅（龙茗路店）	道客吧火锅 
4337544	其他烧烤	麻辣逸族烤鱼（诗迈尔口腔对面）	麻辣逸族烤鱼 
4337934	其他火锅	瓦罐香沸（解放路店）	瓦罐香沸 
51566337	其他日本菜	山葵回转寿司店	山葵回转寿司店 
4338734	其他火锅	一食三客	一食三客 
4339509	其他西餐	豪享来（鹤壁淇滨店）	豪享来 
4340089	其他火锅	年年大丰收（石码店）	年年大丰收 
4340304	其他火锅	川国演义	川国演义 
4340514	其他烧烤	轰炸大鱿鱼（来福士店）	轰炸大鱿鱼 
4340999	其他火锅	老员外骨头汤馆（盱眙店）	老员外 
4341714	其他火锅	农家菜馆	农家菜馆 
4341839	其他烧烤	BBQ纸上烧烤（台城地王广场店）	纸上烧烤 
4342104	其他火锅	荷鳅塘徽派养生火锅	荷鳅塘徽派火锅 
5076295	其他自助餐	百花琴台牛排自助餐厅	百花琴台牛排自助餐厅 
4343894	其他火锅	老妈火锅	老妈火锅 
4344424	其他日本菜	N多寿司	N多寿司 
4878273	其他火锅	海里捞欢乐火锅（沈北祥瑞店）	海里捞欢乐火锅 
4333133	其他西餐	后街咖啡	后街咖啡 
4347599	其他西餐	食全食美（定安路店）	食全食美 
4348134	其他火锅	来自重庆的小板凳吧式火锅	重庆的小板凳吧式火锅 
5851408	其他西餐	斯塔克	斯塔克 
4349374	其他火锅	重庆刘一手（美食广场店）	重庆刘一手火锅 
4349434	其他烧烤	口里香碳烤羊腿（仓场店）	口里香碳烤羊腿 
83371483	其他烧烤	仟米台系铁板烧自选餐厅（富田太阳城店）	仟米台系铁板烧自选餐厅 
4349984	其他烧烤	光辉岁月（邮政街店）	光辉岁月 
4350559	其他烧烤	土耳其烤肉饭（欧惠美食店）	土耳其烤肉饭 
2036272	其他火锅	天天健康煮	天天健康煮 
6179798	其他火锅	京城一锅羊蝎子.金顶街店	京城一锅羊蝎子火锅 
4351559	其他火锅	大嘴火锅（大马店）	大嘴火锅 
4351779	其他火锅	东明海中捞欢乐火锅	海中捞欢乐火锅 
4352099	其他烧烤	黄泥鸽子窝（繁荣路店）	黄泥鸽子窝 
1068738	其他日本菜	花田寿司	花田寿司 
4353999	其他火锅	7石咕噜鱼	7石咕噜鱼 
4354364	其他烧烤	炭火烤羊腿	炭火烤羊腿 
50293086	其他火锅	四季桃园椰子鸡（观澜店）	一品布衣汤烤锅王 
4355559	其他烧烤	关东烤蹄（观海卫店）	关东烤蹄 
4355594	其他火锅	重庆香天下火锅	重庆香天下火锅 
4356114	其他火锅	蜀正园（万达商场店）	蜀正园 
4356429	其他烧烤	东东烧烤（朝阳大街店）	东东烧烤 
4357034	其他烧烤	零点烧烤	零点烧烤 
4357094	其他西餐	必胜客（迎丰西路通城百货店）	必胜客 
4003992	其他火锅	潮泰牛肉店	潮泰牛肉店 
4358324	其他烧烤	老北京炙子烤肉（山西总店）	老北京炙子烤肉 
4358879	其他火锅	金陵阿二骨煲	金陵阿二骨煲 
4358989	其他烧烤	烤鱼堂	烤鱼堂 
4359614	其他火锅	彤德莱火锅（北肖墙店）	彤德莱火锅 
2514512	其他西餐	皇家贵族牛排	皇家贵族牛排 
4360509	其他西餐	麦诺小子（市区店）	麦诺小子 
4361899	其他火锅	迷上味小火锅	迷上味小火锅 
4362204	其他火锅	美食美客	美食美客 
4364134	其他火锅	鲜汤王鱿鱼炖鸡火锅	鲜汤王鱿鱼炖鸡火锅 
4364199	其他火锅	鱼火肴	鱼火肴 
4078955	其他西餐	西焗士	西焗士 
4364444	其他西餐	必胜客（兴化马桥店）	必胜客 
4365039	其他火锅	喜缘火锅	喜缘火锅 
4365174	其他火锅	小辉哥火锅（苏宁广场店）	小辉哥火锅 
4365459	其他火锅	一品布衣汤烤锅王	一品布衣汤烤锅王 
4365714	其他火锅	后厨传奇（石景山总店）	后厨传奇 
4366879	其他火锅	御记煌三汁焖锅（柳巷食品街店）	御记煌三汁焖锅 
4369989	其他火锅	巴国口福火锅大竹店	重庆巴国口福火锅 
4369994	其他西餐	英伦时光（义乌店）	英伦时光 
