mt_main_poi_id	mt_poi_cate2_id	mt_poi_cate3_id	poi_name
6187437	10	183	重庆小面
6187482	10	11	思味源（黄河店）
6187522	255	660	良品铺子（九江十店）
6187527	10	11	好又香烧饼店（兴业街店）
6187542	175	2007	真味道私家小厨
6187567	229	2032	阿亮烧烤烤鱼
6187587	319	2121	广东名吃蒸肠粉
6187597	2164	2046	台湾农家乐
6187607	175	2007	王记面馆总店
6187622	10	2090	鞠香圆熟食
6187637	30	1911	一亩田饭店
6187672	319	2121	古榕渔村
6187697	201	244	大厨全牛老火锅
6187727	229	2001	合和乐（金沙二路店）
6187772	27	1993	守柴炉北京烤鸭（冉家坝店）
6187797	231	231	鄉味轩
6187802	175	2007	鑫盛特色菜馆
6187807	2165	13	纯安鲜奶吧
6187862	315	383	花园烧烤
6187892	2165	2110	大绿岛奶茶
6187897	24	24	乐园蛤蜊汤
6187917	249	179	益隆饼家
6187927	249	1900	榴莲往返（溧阳店）
6187952	10	183	常来顺面馆
6187962	10	2109	林家饸饹店
6187982	229	2003	围城鱼庄
6188007	309	1848	吉美吉汉堡
6188012	249	179	京尚3Q烘焙咖啡世界（兴阳广场店）
6188027	10	2101	嘉兴粽子（罗庄店）
6188037	24	24	紫菜包饭
6188052	249	179	大福鼎（朝阳店）
6188127	2165	2110	三果演义鲜榨果汁
6188142	315	383	痴小鱼（鎏嘉码头店）
6188162	249	179	轩乐斯西饼屋
6188172	2163	9	青岛多彩扎啤美食城
6188202	249	12	旺来蛋糕（文化西路店）
6188217	249	179	振兴休闲阁
6188227	255	258	来伊份
6188237	201	1922	正宗贵州黄牛肉馆
6188257	249	1900	茗馨语（798店）
6188277	10	2082	立本饺子城
6188317	201	1923	四海鲜火锅
6188322	2165	1988	Coffee House
6188327	10	11	麦当劳（哈尔滨哈西万达店）
6188347	315	220	生望烧烤
6188372	10	1949	无名缘米粉
6188397	10	11	呷铺餐馆
6188447	201	244	乾王府护心锅
6188457	230	230	华意土菜馆
6188467	10	2109	农家手工面
6188512	315	220	烤功夫功夫涮烤（步行街店）
6188557	201	1922	鼎香火锅
6188577	249	12	意美客生日蛋糕
6188597	230	230	洞庭石锅鱼
6188607	175	2007	东北粗粮王
6188617	175	2007	香运杀猪炖菜馆
6188637	315	220	闻芳海鲜烧烤
6188652	10	11	一麻一辣麻辣香锅炒菜
6188657	249	1900	斯利美台湾刨冰（宽窄巷子店）
6188677	249	12	金园蛋糕
6188682	257	667	老徐阳山水蜜桃
6188707	202	210	馨然居自助火锅
6188727	10	2095	绝味鸭脖（石鼓路店）
6188747	10	11	青和小锅米线
6188777	229	2032	洪光烤鱼
6188782	229	2003	津川鲁饭庄
6188807	174	234	新乡土菜居
6188832	10	2109	袁妈妈（华荣哲）绿豆饼
6188847	24	24	鼎雅韩国料理店
6188852	229	2003	重庆美食
6188872	10	11	千里香黄焖鸡米饭
6188877	30	1998	百意酒家
6188887	10	11	米米花快餐（珠江路店）
6188902	10	251	鱼肠粥
6188907	229	2003	猛厨炒菜馆（岗李分店）
6188922	184	2124	厚德福大酒店
6188927	2165	2110	迹遇水吧
6188942	10	11	精进料理素食披萨专门店
6188957	10	11	宜良传统烤鸭店
6188977	10	11	2050-Style
6188987	10	11	迪斯奇
6188992	201	244	工人村李氏火锅
6189002	2164	2051	美味斋清真餐厅
6189012	10	2087	杨国福麻辣烫
6189037	10	11	1988MilkyTea
6189047	10	11	来一桶欢乐餐厅
6189087	10	2109	东香肠粉
6189107	201	1921	川锦烧鸡公
6189122	2163	9	郭哥海鲜烧烤特色家常菜夫妻店（湖北路店）
6189142	10	11	宜宾添富面庄
6189147	10	2087	绝味麻辣烫
6189162	10	11	厨香快餐店
6189182	30	1911	私家菜馆
6189202	255	258	一口蛋酥卷（襄阳道店）
6189207	229	2003	吴晓大排档
6189217	249	12	美味美食店
6189252	184	236	华府酒楼
6189257	2165	2110	鲜果时间（师大店）
6189297	10	2109	晨光烧饼（芦庄路店）
6189302	10	2087	帝煮婆迴转串吧
6189307	249	12	皇家Happy
6189317	249	179	泡芙工房
