xp.mt_main_poi_id	xp.mt_poi_cate2_id	xp.mt_poi_cate3_id	xp.poi_name
2154507	201	244	黄记煌三汁焖锅（广场南路店）
2160754	184	236	爱尚·三汁焖锅
2204628	229	2003	黄记煌三汁焖锅（万达广场店）
2293187	201	244	黄记煌三汁焖锅（欧洲苑店）
2295098	201	244	黄记煌三汁焖锅（金凤万达广场店）
2299251	201	244	黄记煌三汁焖锅（长春南路店）
2311801	23	2042	大吉居酒屋
2312290	23	2042	大吉居酒屋（威灵顿街店）
2313955	23	2042	言居酒屋
2344556	201	244	黄记煌三汁焖锅（乐和城店）
2365350	229	2001	黄记煌三汁焖锅（九方店）
2372682	229	2001	黄记煌三汁焖锅（金安店）
2374190	175	2005	蒋氏养生焖锅
2375939	23	2042	木木居酒屋
2376473	10	2087	黄记煌三汁焖锅（和谐广场店）
2378079	201	244	徐厨一品焖锅（工人北路店）
2384540	201	239	来御来健康焖锅
2385819	23	2042	西京居酒屋（马鞍山路店）
2394170	229	2001	黄记煌三汁焖锅（中华广场店）
2402822	201	244	黄记煌三汁焖锅（海纳广场店）
2404455	175	2005	和福顺养生焖锅
2411937	201	244	黄记煌三汁焖锅（谷德店）
2419203	201	244	黄记煌三汁焖锅（襄城店）
2420738	201	244	黄记煌三汁焖锅（步步高店）
2430797	23	2042	吉乃翔和食居酒屋
2443952	229	2001	黄记煌三汁焖锅（奥克斯广场店）
2446169	201	244	黄记煌三汁焖锅（勒泰店）
2451367	201	244	黄记煌三汁焖锅（万达广场店）
2463198	229	2001	黄记煌三汁焖锅主题餐厅（威高店）
2463952	201	239	御品轩焖锅王
2467480	201	244	同盛煌养生焖锅（观音桥店）
2482300	201	244	尚时焖锅
2491908	229	2001	黄记煌三汁焖锅（奥克斯店）
2495746	201	244	辣尚仙时尚焖锅（川味农家饭店）
2499983	201	244	来御来三汁焖锅
2501781	201	244	和福顺养生焖锅（崇安寺店）
2506905	229	2001	黄记煌三汁焖锅（大上海店）
2515622	229	2001	三汁焖锅
2525904	229	2003	黄尚煌三汁焖锅（岭兜店）
2526719	201	244	黄记煌三汁焖锅（广外华联店）
2534929	23	2042	善日本居酒屋（珠江新城店）
2538486	201	244	虞记焖锅（珠江路店）
2543564	201	244	黄记煌三汁焖锅（五洲广场店）
2546897	184	2124	怪难吃三汁焖锅
2564402	202	210	皇家大厨三汁焖锅
2565946	201	244	品尚品三汁焖锅
2573086	201	244	黄记煌三汁焖锅（万国店）
2578575	175	2007	黄记煌三汁焖锅（奥体万达店）
2641068	10	183	面道居酒屋
2651638	201	244	黄记煌三汁焖锅（金瑞银泰店）
2653576	201	244	曾味焖锅
2659636	201	244	黄记煌三汁焖锅（亿升广场店）
2673365	23	2042	Reiko居酒屋
2700624	23	2042	真心屋日本料理居酒屋（海上世界店）
2718822	201	244	焖锅达人
2719442	201	244	黄记煌三汁焖锅（盛大时代广场店）
2720537	201	244	御上皇三汁焖锅
2736609	229	2001	外婆三汁焖锅
2740063	201	2036	来御来三汁焖锅
2770697	228	228	七品焖锅
2792828	229	2001	挞挞家秘汁焖锅
2869705	184	236	御品三汁焖锅
3254363	202	8	红蕃茄焖锅（财满街店）
3254553	229	2003	辣尚仙时尚焖锅
3259996	201	244	御品皇上煌三汁焖锅（万达店）
3290279	23	2042	友膳居酒屋
3295625	229	2001	品尚品三汁焖锅
3315828	201	244	过锅瘾三汁焖锅（东方不夜城店）
3316923	201	244	来御来三汁焖锅
3320247	201	244	黄记煌三汁焖锅（圆明园百旺店）
4041500	229	2001	三味焖锅（力宝店）
4059772	23	2042	日本料理響居酒屋
4062551	201	244	黄记煌三汁焖锅（奥山世纪城店）
4068021	229	2003	过锅瘾三汁焖锅（上邦店）
4092424	175	2005	皇家大厨水晶焖锅
4112726	201	244	小食代三汁焖锅
4119960	315	2044	串亭烧烤居酒屋（东直门店）
4122137	201	244	御味焖锅
4122305	229	2001	品轩蜀味焖锅（万达店）
4146367	201	244	来御来三汁焖锅（武威店）
4146824	2164	223	高密三汁焖锅主题餐厅
4155707	229	2003	开闽皇焖锅王
4165062	201	244	过锅瘾三汁焖锅
4181935	23	2042	鱼鱼鱼居酒屋
4194571	201	244	来御来三汁焖锅
4232517	201	244	味优特水晶焖锅
4246133	2164	223	来御来三汁焖锅（奉化银泰店）
4266956	201	244	黄尚煌三汁焖锅&重庆鸡公煲（芙蓉店）
4270513	229	2003	辣有道五味焖锅
4271615	229	2001	黄记煌三汁焖锅（兴安大街店）
4271923	23	317	鸟重居酒屋（天山店）
4275428	229	2032	辣妹子三汁焖锅烤鱼
4307560	201	244	黄记煌三汁焖锅（华侨城店）
4308512	229	2001	黄记煌三汁焖锅（龙湖北城天街店）
4315467	23	2042	隐家居酒屋（国贸店）
4339002	201	244	焖锅达人
4340044	230	230	满锅香三汁焖锅
4360258	23	2042	Jason's居酒屋私人会所
4366800	229	2003	过锅瘾三汁焖锅（安顺店）
